name,full_name,url,language,stars,forks,is_fork,is_archived,is_private,days_since_push,managed,priority,agents
homebrew-allbeads,thrashr888/homebrew-allbeads,https://github.com/thrashr888/homebrew-allbeads,Ruby,0,0,false,false,false,0,false,Medium,
homebrew-qdos,thrashr888/homebrew-qdos,https://github.com/thrashr888/homebrew-qdos,Ruby,0,0,false,false,false,0,false,Medium,
homebrew-ethertext,thrashr888/homebrew-ethertext,https://github.com/thrashr888/homebrew-ethertext,Ruby,0,0,false,false,false,7,false,Medium,
terraform-bad,thrashr888/terraform-bad,https://github.com/thrashr888/terraform-bad,HCL,0,0,false,false,false,51,false,Medium,
grunt-sftp-deploy,thrashr888/grunt-sftp-deploy,https://github.com/thrashr888/grunt-sftp-deploy,JavaScript,156,34,false,false,false,2527,false,Low,
dokku-bower-grunt-build-plugin,thrashr888/dokku-bower-grunt-build-plugin,https://github.com/thrashr888/dokku-bower-grunt-build-plugin,Shell,22,18,false,false,false,3936,false,Low,
monkey-typescript,thrashr888/monkey-typescript,https://github.com/thrashr888/monkey-typescript,TypeScript,13,0,false,false,false,1140,false,Low,
s3staticuploader,thrashr888/s3staticuploader,https://github.com/thrashr888/s3staticuploader,JavaScript,13,2,false,false,false,1584,false,Low,
Frontend-Code-Test,thrashr888/Frontend-Code-Test,https://github.com/thrashr888/Frontend-Code-Test,HTML,10,16,false,false,false,3734,false,Low,
Bogart,thrashr888/Bogart,https://github.com/thrashr888/Bogart,PHP,9,0,false,false,false,4733,false,Low,
sentinel-simulator-docker,thrashr888/sentinel-simulator-docker,https://github.com/thrashr888/sentinel-simulator-docker,Dockerfile,4,2,false,false,false,802,false,Low,
Anatomy,thrashr888/Anatomy,https://github.com/thrashr888/Anatomy,JavaScript,4,0,false,false,false,5908,false,Low,
jenngen,thrashr888/jenngen,https://github.com/thrashr888/jenngen,JavaScript,3,0,false,false,false,755,false,Low,
terraform-kitchen-sink,thrashr888/terraform-kitchen-sink,https://github.com/thrashr888/terraform-kitchen-sink,HCL,3,8,false,false,false,983,false,Low,
dom-tree-viewer,thrashr888/dom-tree-viewer,https://github.com/thrashr888/dom-tree-viewer,CSS,3,0,false,false,false,2675,false,Low,
marvel-mini,thrashr888/marvel-mini,https://github.com/thrashr888/marvel-mini,JavaScript,3,1,false,false,false,2739,false,Low,
Scour,thrashr888/Scour,https://github.com/thrashr888/Scour,Swift,2,0,false,false,false,1401,false,Low,
my-tfe,thrashr888/my-tfe,https://github.com/thrashr888/my-tfe,HCL,2,2,false,false,false,2292,false,Low,
s3url,thrashr888/s3url,https://github.com/thrashr888/s3url,PHP,2,0,false,false,false,4195,false,Low,
textorize-server,thrashr888/textorize-server,https://github.com/thrashr888/textorize-server,PHP,2,0,false,false,false,5726,false,Low,
pauls-code-snippets,thrashr888/pauls-code-snippets,https://github.com/thrashr888/pauls-code-snippets,PHP,2,0,false,false,false,5824,false,Low,
iphone-christmas-tree,thrashr888/iphone-christmas-tree,https://github.com/thrashr888/iphone-christmas-tree,Objective-C,2,0,false,false,false,6233,false,Low,
terraform-gcp-example,thrashr888/terraform-gcp-example,https://github.com/thrashr888/terraform-gcp-example,HCL,1,3,false,false,false,728,false,Low,
hashidocs,thrashr888/hashidocs,https://github.com/thrashr888/hashidocs,Python,1,0,false,false,false,773,false,Low,
cool-website,thrashr888/cool-website,https://github.com/thrashr888/cool-website,HTML,1,0,false,false,false,968,false,Low,
terraform-random,thrashr888/terraform-random,https://github.com/thrashr888/terraform-random,HCL,1,4,false,false,false,1032,false,Low,
the-rogue-clicker,thrashr888/the-rogue-clicker,https://github.com/thrashr888/the-rogue-clicker,JavaScript,1,0,false,false,false,1049,false,Low,
terraform-initial-d,thrashr888/terraform-initial-d,https://github.com/thrashr888/terraform-initial-d,HCL,1,2,false,false,false,1093,false,Low,
monkey-playground,thrashr888/monkey-playground,https://github.com/thrashr888/monkey-playground,JavaScript,1,0,false,false,false,1108,false,Low,
terraform-cert-example,thrashr888/terraform-cert-example,https://github.com/thrashr888/terraform-cert-example,HCL,1,0,false,false,false,1211,false,Low,
terraform-postconditions-example,thrashr888/terraform-postconditions-example,https://github.com/thrashr888/terraform-postconditions-example,HCL,1,2,false,false,false,1212,false,Low,
terraform-provider-keychain,thrashr888/terraform-provider-keychain,https://github.com/thrashr888/terraform-provider-keychain,Go,1,0,false,false,false,1435,false,Low,
terraform-env,thrashr888/terraform-env,https://github.com/thrashr888/terraform-env,HCL,1,0,false,false,false,1542,false,Low,
terraform-azure-example,thrashr888/terraform-azure-example,https://github.com/thrashr888/terraform-azure-example,HCL,1,1,false,false,false,1596,false,Low,
the-reg,thrashr888/the-reg,https://github.com/thrashr888/the-reg,Go,1,0,false,false,false,1751,false,Low,
terraform-monorepo-example,thrashr888/terraform-monorepo-example,https://github.com/thrashr888/terraform-monorepo-example,HCL,1,1,false,false,false,1764,false,Low,
terraform-outputs,thrashr888/terraform-outputs,https://github.com/thrashr888/terraform-outputs,HCL,1,4,false,false,false,1813,false,Low,
terraform-empty,thrashr888/terraform-empty,https://github.com/thrashr888/terraform-empty,HCL,1,2,false,false,false,1816,false,Low,
terraform-apply-fail,thrashr888/terraform-apply-fail,https://github.com/thrashr888/terraform-apply-fail,HCL,1,7,false,false,false,1820,false,Low,
no-readme,thrashr888/no-readme,https://github.com/thrashr888/no-readme,JavaScript,1,0,false,false,false,1854,false,Low,
dotfiles,thrashr888/dotfiles,https://github.com/thrashr888/dotfiles,Shell,1,0,false,false,false,1941,false,Low,
terraform_013_example,thrashr888/terraform_013_example,https://github.com/thrashr888/terraform_013_example,HCL,1,1,false,false,false,2002,false,Low,
classy-express,thrashr888/classy-express,https://github.com/thrashr888/classy-express,JavaScript,1,0,false,false,false,3857,false,Low,
pear,thrashr888/pear,https://github.com/thrashr888/pear,JavaScript,1,0,false,false,false,4185,false,Low,
angular-animation-test,thrashr888/angular-animation-test,https://github.com/thrashr888/angular-animation-test,CSS,1,0,false,false,false,4382,false,Low,
Bogart-sandbox-shared,thrashr888/Bogart-sandbox-shared,https://github.com/thrashr888/Bogart-sandbox-shared,PHP,1,0,false,false,false,4733,false,Low,
Bogart-sandbox,thrashr888/Bogart-sandbox,https://github.com/thrashr888/Bogart-sandbox,PHP,1,0,false,false,false,4733,false,Low,
thrashr888.github.com,thrashr888/thrashr888.github.com,https://github.com/thrashr888/thrashr888.github.com,,1,0,false,false,false,5994,false,Low,
terraform-fast,thrashr888/terraform-fast,https://github.com/thrashr888/terraform-fast,HCL,0,2,false,false,false,236,false,Low,
gdp-dashboard,thrashr888/gdp-dashboard,https://github.com/thrashr888/gdp-dashboard,Python,0,0,false,false,false,373,false,Low,
Workshop,thrashr888/Workshop,https://github.com/thrashr888/Workshop,HCL,0,0,false,false,false,434,false,Low,
terraform-slow,thrashr888/terraform-slow,https://github.com/thrashr888/terraform-slow,HCL,0,3,false,false,false,728,false,Low,
tf-training,thrashr888/tf-training,https://github.com/thrashr888/tf-training,HTML,0,0,false,false,false,733,false,Low,
tfc-chat-test,thrashr888/tfc-chat-test,https://github.com/thrashr888/tfc-chat-test,JavaScript,0,0,false,false,false,871,false,Low,
terraform-checks-examples,thrashr888/terraform-checks-examples,https://github.com/thrashr888/terraform-checks-examples,HCL,0,0,false,false,false,921,false,Low,
terraform-hcp-packer-example,thrashr888/terraform-hcp-packer-example,https://github.com/thrashr888/terraform-hcp-packer-example,HCL,0,0,false,false,false,1211,false,Low,
scrubr,thrashr888/scrubr,https://github.com/thrashr888/scrubr,JavaScript,0,0,false,false,false,2041,false,Low,
